date,BAYC
2021-06-05,64
2021-06-06,44
2021-06-07,186
2021-06-08,201
2021-06-09,169
2021-06-10,150
2021-06-11,44
2021-07-23,156
2021-07-24,335
2021-07-25,253
2021-07-26,272
2021-07-27,195
2021-07-28,276
2021-07-29,311
2021-07-30,83
2021-08-13,89
2021-08-14,171
2021-08-15,231
2021-08-16,199
2021-08-17,118
2021-08-18,167
2021-08-19,243
2021-08-20,247
2021-08-21,156
2021-08-22,313
2021-08-23,258
2021-08-24,53
2021-08-25,74
2021-08-26,162
2021-08-27,0
2021-09-03,155
2021-09-04,72
2021-09-05,349
2021-09-06,324
2021-09-07,223
2021-09-08,123
2021-09-09,178
2021-09-10,216
2021-09-11,188
2021-09-12,25
2021-09-13,167
2021-09-14,231
2021-09-15,224
2021-09-16,179
2021-09-17,395
2021-09-18,332
2021-09-19,0
2021-09-20,279
2021-09-21,227
2021-09-22,296
2021-09-23,202
2021-09-24,85
2021-10-08,119
2021-10-09,116
2021-10-10,346
2021-10-11,183
2021-10-12,232
2021-10-13,145
2021-10-14,277
2021-10-15,0
2021-10-22,148
2021-10-23,179
2021-10-24,184
2021-10-25,206
2021-10-26,123
2021-10-27,44
2021-10-28,124
2021-10-29,189
2021-10-30,189
2021-10-31,82
2021-11-01,293
2021-11-02,166
2021-11-03,220
2021-11-04,286
2021-11-05,80
2021-11-06,223
2021-11-07,256
2021-11-08,190
2021-11-09,101
2021-11-10,37
2021-11-11,87
2021-11-12,191
2021-11-13,167
2021-11-14,288
2021-11-15,187
2021-11-16,170
2021-11-17,327
2021-11-18,172
2021-11-19,219
2021-11-20,122
2021-11-21,281
2021-11-22,119
2021-11-23,31
2021-11-24,308
2021-11-25,208
2021-11-26,94
2021-11-27,77
2021-11-28,155
2021-11-29,163
2021-11-30,249
2021-12-01,229
2021-12-02,303
2021-12-03,398
2021-12-04,242
2021-12-05,336
2021-12-06,415
2021-12-07,189
2021-12-08,198
2021-12-09,164
2021-12-10,111
2021-12-11,180
2021-12-12,259
2021-12-13,202
2021-12-14,303
2021-12-15,346
2021-12-16,348
2021-12-17,124
2021-12-18,228
2021-12-19,195
2021-12-20,411
2021-12-21,221
2021-12-22,302
2021-12-23,169
2021-12-24,526
2021-12-25,164
2021-12-26,146
2021-12-27,311
2021-12-28,356
2021-12-29,479
2021-12-30,383
2021-12-31,110
2022-01-01,372
2022-01-02,349
2022-01-03,419
2022-01-04,535
2022-01-05,254
2022-01-06,227
2022-01-07,100
2022-01-08,59
2022-01-09,87
2022-01-10,141
2022-01-11,128
2022-01-12,109
2022-01-13,86
2022-01-14,239
2022-01-15,80
2022-01-16,83
2022-01-17,52
2022-01-18,134
2022-01-19,173
2022-01-20,91
2022-01-21,590
2022-01-22,459
2022-01-23,319
2022-01-24,637
2022-01-25,303
2022-01-26,305
2022-01-27,485
2022-01-28,370
2022-01-29,416
2022-01-30,370
2022-01-31,200
2022-02-01,310
2022-02-02,202
2022-02-03,191
2022-02-04,281
2022-02-05,420
2022-02-06,288
2022-02-07,470
2022-02-08,136
2022-02-09,400
2022-02-10,415
2022-02-11,291
2022-02-12,341
