Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,106.919998,108.269997,106.919998,108.019997,108.019997,0
2022-07-12,108.180000,108.559998,107.839996,108.070000,108.070000,0
2022-07-13,108.190002,108.580002,107.480003,107.959999,107.959999,0
2022-07-14,108.199997,109.290001,108.199997,108.540001,108.540001,0
2022-07-15,108.669998,108.709999,107.910004,108.059998,108.059998,0
2022-07-17,null,null,null,null,null,null
2022-07-18,107.980003,108.040001,106.889999,107.370003,107.370003,0
2022-07-19,107.489998,107.629997,106.400002,106.680000,106.680000,0
2022-07-20,106.669998,107.260002,106.389999,107.080002,107.080002,0
2022-07-21,107.089996,107.320000,106.419998,106.910004,106.910004,0
2022-07-22,106.589996,107.360001,106.110001,106.730003,106.730003,0
2022-07-24,null,null,null,null,null,null
2022-07-25,106.550003,106.879997,106.190002,106.480003,106.480003,0
2022-07-26,106.449997,107.279999,106.199997,107.190002,107.190002,0
2022-07-27,107.129997,107.430000,106.260002,106.449997,106.449997,0
2022-07-28,106.370003,106.980003,106.059998,106.349998,106.349998,0
2022-07-29,106.209999,106.660004,105.540001,105.900002,105.900002,0
2022-07-31,null,null,null,null,null,null
2022-08-01,105.830002,106.029999,105.239998,105.449997,105.449997,0
2022-08-02,105.360001,106.339996,105.050003,106.239998,106.239998,0
2022-08-03,106.430000,106.820000,105.970001,106.510002,106.510002,0
2022-08-04,106.480003,106.510002,105.669998,105.690002,105.690002,0
2022-08-05,105.720001,106.930000,105.690002,106.620003,106.620003,0
2022-08-07,null,null,null,null,null,null
2022-08-08,106.580002,106.800003,106.089996,106.440002,106.440002,0
2022-08-09,106.339996,106.410004,105.970001,106.370003,106.370003,0
2022-08-10,106.339996,106.400002,104.639999,105.199997,105.199997,0
2022-08-11,105.209999,105.459999,104.650002,105.089996,105.089996,0
2022-08-12,105.160004,105.879997,105.089996,105.629997,105.629997,0
2022-08-14,null,null,null,null,null,null
2022-08-15,105.669998,106.550003,105.550003,106.550003,106.550003,0
2022-08-16,106.480003,106.940002,106.320000,106.500000,106.500000,0
2022-08-17,106.449997,106.889999,106.309998,106.570000,106.570000,0
2022-08-18,106.680000,107.559998,106.510002,107.480003,107.480003,0
2022-08-19,107.500000,108.220001,107.470001,108.169998,108.169998,0
2022-08-21,null,null,null,null,null,null
2022-08-22,108.099998,109.099998,108.080002,109.050003,109.050003,0
2022-08-23,109.000000,109.269997,108.080002,108.620003,108.620003,0
2022-08-24,108.519997,109.110001,108.360001,108.680000,108.680000,0
2022-08-25,108.629997,108.690002,107.989998,108.470001,108.470001,0
2022-08-26,108.470001,108.870003,107.589996,108.800003,108.800003,0
2022-08-28,null,null,null,null,null,null
2022-08-29,108.839996,109.480003,108.489998,108.839996,108.839996,0
2022-08-30,108.699997,109.110001,108.290001,108.769997,108.769997,0
2022-08-31,108.750000,109.199997,108.379997,108.699997,108.699997,0
2022-09-01,108.839996,109.980003,108.769997,109.690002,109.690002,0
2022-09-02,109.639999,109.720001,108.930000,109.529999,109.529999,0
2022-09-04,null,null,null,null,null,null
2022-09-05,null,null,null,null,null,null
2022-09-06,109.599998,110.550003,109.379997,110.209999,110.209999,0
2022-09-07,110.320000,110.790001,109.540001,109.839996,109.839996,0
2022-09-08,109.669998,110.239998,109.330002,109.709999,109.709999,0
2022-09-09,109.540001,109.540001,108.360001,109.000000,109.000000,0
2022-09-11,null,null,null,null,null,null
2022-09-12,108.599998,108.860001,107.809998,108.330002,108.330002,0
2022-09-13,108.230003,109.959999,107.680000,109.820000,109.820000,0
2022-09-14,109.930000,109.930000,109.279999,109.660004,109.660004,0
2022-09-15,109.610001,109.919998,109.419998,109.739998,109.739998,0
2022-09-16,109.800003,110.260002,109.480003,109.760002,109.760002,0
2022-09-18,null,null,null,null,null,null
2022-09-19,109.639999,110.180000,109.489998,109.739998,109.739998,0
2022-09-20,109.580002,110.290001,109.360001,110.220001,110.220001,0
2022-09-21,110.160004,111.580002,110.129997,110.639999,110.639999,0
2022-09-22,111.480003,111.809998,110.459999,111.349998,111.349998,0
2022-09-23,111.239998,113.230003,111.080002,113.190002,113.190002,0
2022-09-25,null,null,null,null,null,null
2022-09-26,113.019997,114.529999,112.940002,114.099998,114.099998,0
2022-09-27,114.019997,114.470001,113.330002,114.110001,114.110001,0
2022-09-28,114.190002,114.779999,112.559998,112.599998,112.599998,0
2022-09-29,113.010002,113.790001,111.919998,112.250000,112.250000,0
2022-09-30,111.750000,112.669998,111.580002,112.120003,112.120003,0
2022-10-02,null,null,null,null,null,null
2022-10-03,112.169998,112.540001,111.470001,111.750000,111.750000,0
2022-10-04,111.589996,111.889999,110.059998,110.070000,110.070000,0
